itemID,name,Electronics,description,50,50,true,sellerID
itemID2,name2,Electronics,description2,50,50,true,sellerID2
itemID2,name2,Software,description2,50,50,true,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,48,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,50,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID,name,Books,description,50,49,false,sellerID
itemID2,name2,Books,description2,50,50,false,sellerID2
itemID2,name2,Books,description2,50,50,false,sellerID2
new item,Name,Electronics,Description,1,1,true,Seselsel
itemID,name,Books,description,50,50,false,Seselsel
itemID2,name2,Books,description2,50,50,false,Seselsel
itemID3333,name3333,Books,description2,50,50,false,Seselsel
itemID,name,Books,description,50,50,false,Seselsel
itemID2,name2,Books,description2,50,50,false,Seselsel
itemID3333,name3333,Books,description2,50,50,false,Seselsel
