BuJasjas,Jason,password,jason@email.com,Buyer
Adnamema,name,cGFzc3dvcmQ=,email,Admin
Adnamema,name,cGFzc3dvcmQ=,email,Admin
SeTyltyl,Tyler,password,tyler@email,Seller
AdAdmadm,Admin,password,admin@admin,Admin
Senamema,name,password,email,Seller
Senamema,name,password,email,Seller
SeTyltyl,Tyler,password,tyler@email,Seller
BuJasjas,Jason,password,jason@email.com,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Bunamema,name,password,email,Buyer
Adoooooo,ooo,ooo,ooo,Admin
Seselsel,seller,seller,seller,Seller
